Country Name,Year,Bribery incidence (% of firms experiencing at least one bribe payment request) [IC.FRM.BRIB.ZS],"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",CPIA property rights and rule-based governance rating (1=low to 6=high) [IQ.CPA.PROP.XQ],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL],Gini index [SI.POV.GINI],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",New businesses registered (number) [IC.BUS.NREG],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Military expenditure (% of general government expenditure) [MS.MIL.XPND.ZS],"Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Compulsory education, duration (years) [SE.COM.DURS]",Lending interest rate (%) [FR.INR.LEND],Trade (% of GDP) [NE.TRD.GNFS.ZS],Net migration [SM.POP.NETM],International migrant stock (% of population) [SM.POP.TOTL.ZS],"International migrant stock, total [SM.POP.TOTL]","Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"Secondary education, duration (years) [SE.SEC.DURS]","Primary education, duration (years) [SE.PRM.DURS]","Internally displaced persons, new displacement associated with conflict and violence (number of cases) [VC.IDP.NWCV]","Internally displaced persons, total displaced by conflict and violence (number of people) [VC.IDP.TOCV]","Internally displaced persons, new displacement associated with disasters (number of cases) [VC.IDP.NWDS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Maternal mortality ratio (national estimate, per 100,000 live births) [SH.STA.MMRT.NE]","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]"
Belarus,1997,..,..,10.20041875,..,..,..,..,11.04009606,2.799999952,..,0.8779945165,63.93736634,..,11.40000541,1396.442019,11.8639522,4601.503085,1.270958924,5.848321407,86099.99847,1.768966551,..,..,..,..,31.8,125.5161792,56146,..,..,25700000,46500000,0.3291241174,49.87519657,-0.4156044434,10117433,32.1,7,4,..,..,..,68.46097561,..,24,..
Belarus,1998,..,..,10.39118811,..,..,..,32,11.95443681,2.299999952,..,1.517786637,72.86971705,..,8.39999142,1511.325316,8.889364506,5066.942837,1.121995764,5.685088398,84029.99878,1.495098702,..,..,..,9,26.99166667,122.9576977,..,..,..,19900000,53900000,0.354092466,49.65741092,-0.4504352372,10071963,33,7,4,..,..,..,68.40731707,..,28,..
Belarus,1999,..,..,9.814155761,..,..,..,31.7,3.372064463,2.099999905,..,5.975203472,293.6787509,..,3.399999163,1210.61172,3.866378654,5337.01584,1.026855983,5.480346649,81519.99664,1.366760738,..,..,6.000010014,9,51.04166667,120.8351178,..,..,..,4800000,62000000,0.5107720788,49.43297754,-0.4500298435,10026738,46.7,7,4,..,..,..,67.90731707,..,21,..
Belarus,2000,..,..,10.26172463,..,..,..,31.2,9.835662437,2.099999905,..,16.05060566,168.6202359,..,5.80000344,1276.288034,6.299636448,5801.75813,0.9143463761,5.304816521,78900.00153,1.346984151,..,..,6.196619987,9,67.66666667,141.609166,..,11.28998986,1123586,9600000,114200000,0.8966105338,49.19747791,-0.4711313346,9979610,41.9,7,4,..,..,..,68.91219512,0.02525220739,23,..
Belarus,2001,..,..,9.876267391,..,..,..,30.6,10.73448702,2.299999952,..,25.8631327,61.13493316,..,4.725305994,1244.373185,5.263892131,6244.747744,0.836756865,5.225335545,77610.00061,1.438290747,32.80212483,..,..,9,46.96666667,137.0449305,..,..,..,33200000,67200000,0.5439172664,48.9467226,-0.5129666883,9928549,28.9,7,4,..,..,..,68.50731707,0.02176068407,15,..
Belarus,2002,..,..,10.14782373,..,..,..,30.3,8.152522079,3,..,36.86467522,42.53754813,..,5.04526748,1479.314583,5.716082411,6704.592279,0.7837389082,5.254649833,77029.99878,1.400245801,30.93829248,..,..,9,36.88333333,131.0020583,-6382,..,..,48800000,80600000,0.552272336,48.639731,-0.6365656664,9865548,30.5,7,4,..,..,..,68.05609756,0.02073679948,19,..
Belarus,2003,..,..,..,..,..,..,28.8,10.5690227,3.099999905,..,47.33344667,28.39783991,..,7.043192559,1819.766059,7.794917912,7369.845906,0.7299115448,5.379335611,78209.99908,1.2990639,28.85783718,..,..,9,23.975,134.1418523,..,..,..,28100000,164100000,0.9204729685,48.30124836,-0.6998091909,9796749,27.1,7,4,..,..,..,68.55365854,0.01795856105,20,..
Belarus,2004,..,..,..,..,..,..,26.5,13.56897538,1.899999976,..,55.90470198,18.10824249,..,11.44974311,2378.623286,12.21261832,8491.894839,0.678225586,5.759420354,82199.99695,1.358222314,29.84615385,12.55235004,5.712259769,9,16.90833333,142.1365104,..,..,..,47100000,239400000,1.034377638,47.97547519,-0.6821694722,9730146,17.8,7,4,..,..,..,68.95609756,0.01631863181,..,..
Belarus,2005,..,..,..,..,..,..,27.6,15.6480367,1.5,..,61.68462172,10.33887945,..,9.400001524,3125.810535,10.14976717,9647.121181,0.6090382145,5.875465459,83069.99969,1.498453135,32.21010902,12.62010956,5.871029854,9,11.35833333,118.8843517,..,11.48248203,1106982,52200000,198600000,0.6574511543,47.64468799,-0.68300556,9663915,12.7,7,4,..,..,..,68.85121951,0.01437032168,..,..
Belarus,2006,..,..,..,..,..,..,28.3,15.04140867,1.200000048,..,66.0007743,6.997129035,1885,9.999994812,3847.434124,10.6755868,11006.45591,0.5592332517,6.15517613,86300.00305,1.709412492,35.0219695,12.45032024,6.076960087,9,8.841666667,124.2951039,..,..,..,70400000,268200000,0.7257610355,47.33728266,-0.612296198,9604924,11.1,7,4,..,..,..,69.40487805,0.0122156464,..,..
Belarus,2007,..,..,6.845620396,..,..,..,29.6,11.00099145,1,..,71.56249635,8.426752735,3820,8.600006536,4735.657608,9.099459979,12332.50292,0.4889302558,6.029733806,85089.99634,1.649765914,32.44939271,10.1337204,5.152100086,9,8.575,128.153878,63933,..,..,103200000,288300000,0.6367415116,47.12127096,-0.4588475356,9560953,7.7,7,4,..,..,..,70.20731707,0.01030952284,7,..
Belarus,2008,15.5,..,5.839505631,..,..,..,27.8,16.74786697,0.8000000119,..,82.18085117,14.83787648,5168,10.19999944,6377.369732,10.58130499,13898.99968,0.4570735136,6.352864617,89339.99634,1.453492852,23.42896175,..,..,9,8.55,129.5994785,..,..,..,171000000,583300000,0.9599515528,46.95855635,-0.3454150543,9527985,6.1,7,4,..,..,..,70.45609756,0.009000515752,3,..
Belarus,2009,..,..,5.162639578,..,..,..,27.7,-3.930859522,6.099999905,..,92.81970174,12.94565634,5714,0.19999531,5352.583912,0.4467057959,14050.57156,0.4298182436,6.03919199,86410.00366,1.372576981,25.67714713,8.449549675,4.368939877,9,11.675,108.6356448,..,..,..,133000000,503800000,0.9902882161,46.84414336,-0.2459154413,9504583,5.4,7,4,..,..,..,70.40731707,0.008511336251,1,..
Belarus,2010,..,..,4.256639934,..,..,..,28.6,8.277313031,..,..,100,7.735748043,6399,7.798266823,6033.686239,8.034088134,15361.83171,0.4232986635,6.50264283,91029.99878,1.341383433,30.26604897,11.77812958,5.220039845,9,9.216666667,115.917973,..,11.48718906,1090378,115700000,575300000,1.005373923,46.74096855,-0.218522756,9483836,5.2,7,4,..,..,..,70.40487805,0.007787640085,1,..
Belarus,2011,..,..,3.961630178,..,..,..,27.2,18.09582806,0.6000000238,..,153.2286983,53.22869831,6063,5.37870745,6527.173869,5.625881186,16563.20141,0.3736079021,6.18814293,88099.99847,1.22449511,30.38933764,11.62664986,4.684790134,9,13.575,157.9742551,..,..,..,133800000,890600000,1.442085307,46.62975211,-0.2342829142,9461643,7.3,7,4,..,..,..,70.55365854,0.007311457982,1,..
Belarus,2012,..,..,3.610474411,..,..,..,26.5,3.92968089,0.5,..,243.970329,59.21973602,7674,1.687135536,6953.132515,1.846520268,18105.28672,0.3504490976,6.344981391,89629.99725,1.229218722,31.60581745,12.75230026,4.959640026,9,19.49166667,153.0852693,72123,..,..,141700000,1053100000,1.60325547,46.5593029,-0.1566176002,9446836,6.3,7,4,..,..,..,71.96585366,0.006087259846,..,..
Belarus,2013,7.9,..,3.533718144,..,1,..,26.6,-0.1510043898,0.5,..,288.6468125,18.31226104,8983,1.003470841,7998.125239,1.042243413,18994.19019,0.3344555431,6.352712195,90110.00061,1.270796652,31.13683922,12.27398968,5.009419918,9,19.13333333,119.8159652,..,..,..,150800000,1213500000,1.606689245,46.53937252,-0.03838000027,9443211,5.5,7,4,..,..,..,72.47073171,0.005561412359,0,..
Belarus,2014,..,..,3.604848394,..,1,..,27.2,3.134072363,0.5,..,340.9483285,18.11955435,7019,1.726384854,8341.399679,1.669279929,19008.06102,0.3312955417,6.29728587,89290.00092,1.26884247,32.67156643,12.40672016,4.818309784,9,18.74166667,110.6514244,..,..,..,181200000,1231300000,1.56228906,46.55060033,0.05615156751,9448515,4.8,7,4,..,..,..,72.97073171,0.005187779007,1,..
Belarus,2015,..,..,3.453600559,..,1,..,25.6,-4.477617265,1,..,387.0939452,13.53448976,6095,-3.829570558,5967.052204,-3.957251254,18095.66518,0.3202019303,5.79426692,84739.99786,1.257482359,30.10517907,11.46173,4.787519932,9,18.08333333,115.9148262,..,11.40401056,1082905,162300000,931500000,1.649994478,46.61133719,0.1328532367,9461076,5.1,7,4,..,..,..,73.62439024,0.004528293917,..,..
Belarus,2016,..,..,3.250177489,..,1,..,25.3,-5.746128115,5.840000153,10.72000027,432.9126326,11.83658077,6427,-2.526446436,5039.681886,-2.611913805,17785.9432,0.3273922216,5.822979457,83889.99939,1.253515045,30.81184633,12.1587801,4.946549892,9,14.4,125.2093229,..,..,..,123800000,976600000,2.046407398,46.64994482,0.08772108787,9469379,5.7,7,4,..,..,..,73.82682927,0.004468557075,..,0.1
Belarus,2017,..,..,2.539619923,..,3,..,25.4,4.11688963,5.650000095,9.319999695,459.0252181,6.031837252,7861,2.5321835,5785.670673,2.644807522,18356.10077,0.3225822048,5.92135146,85379.99725,1.146289015,29.36055806,12.28168964,4.794990063,9,9.658712416,133.3677547,43648,..,..,137800000,1253800000,2.291025039,46.59875953,-0.109782323,9458989,5.9,7,4,..,..,..,74.12926829,0.004209333894,..,..
Belarus,2018,4.9,..,2.39087279,..,3,..,25.2,6.531188653,4.760000229,10.64999962,481.3903139,4.872302206,8700,3.149197594,6360.062473,3.369991519,19428.00746,0.3214692669,6.245507315,88209.99908,1.182261729,31.24017628,13.26403999,5.381110191,9,8.695833333,139.3937363,..,..,..,159900000,1445800000,2.408411793,46.50105922,-0.213824207,9438785,5.6,7,4,..,..,..,74.17560976,..,..,..
Belarus,2019,..,..,2.380345582,..,3,..,25.3,3.084876334,4.159999847,10.21000004,508.3392944,5.59815595,8697,1.4,6837.717826,1.604818192,20092.88037,0.3046968703,6.122237765,86830.00183,1.226168363,31.76686562,13.33073997,4.97947979,9,9.023333333,130.8504061,..,..,..,185900000,1418800000,2.202775612,46.41075062,-0.201786601,9419758,5,7,4,..,..,..,74.22682927,..,..,..
Belarus,2020,..,..,..,..,..,0.7000781894,24.4,-3.529981812,4.050000191,12.03999996,536.5426883,5.548143575,7204,-0.9000000002,6555.426818,-0.479446185,20237.55113,..,..,..,1.25428103,30.79571811,12.78114986,4.952449799,9,9.0325,118.9338837,..,..,..,245200000,1013700000,1.648571763,46.21121293,-0.4234752503,9379952,4.8,7,4,..,..,..,74.22682927,..,..,..
Belarus,2021,..,..,..,..,..,..,..,..,..,..,587.3011498,9.460283896,..,2.506742348,7303.696266,2.941755802,21698.57409,..,..,..,..,..,16.53804016,..,..,10.1175,138.7385722,..,..,..,..,..,..,..,-0.4234775215,9340314,..,7,4,..,..,..,..,..,..,..
Belgium,1995,..,..,1.394028688,..,..,..,28.4,1.316559556,9.340000153,21.51000023,74.97947947,1.467966991,..,2.38475728,28413.82644,2.170550274,22434.7069,0.5037895606,11.30237113,137059.9976,1.565752151,2.934068512,5.828969955,2.988660097,..,..,116.3785678,..,8.711724976,885278,3251686279,4936722168,1.713987356,..,0.209436838,10136811,..,6,6,..,..,..,76.84073171,..,9,..
Belgium,1996,..,..,1.175518073,..,..,..,..,0.5399983979,9.479999542,20.46999931,76.53681906,2.077021074,..,1.32145093,27489.55518,1.123669018,22738.44887,0.5172200926,11.76078263,142410.0037,1.540102651,2.863815489,5.897059917,3.049479961,..,..,119.2127758,..,..,..,3418260742,4947035645,1.771851809,..,0.1953931762,10156637,..,6,6,..,..,..,77.18731707,..,5,..
Belgium,1997,..,..,1.418261436,..,..,..,26.8,3.205352786,8.949999809,21.26000023,77.78296131,1.628160495,..,3.79365763,24820.93805,3.542789064,23732.27225,0.4826919606,11.45537702,139229.9957,1.476975796,2.825233483,..,..,..,..,125.6889401,50870,..,..,3125033203,4328916992,1.713011108,..,0.241991885,10181245,..,6,6,..,..,..,77.37073171,..,9,..
Belgium,1998,..,..,..,..,..,..,..,1.796246344,9.319999695,20.37999916,78.5213163,0.9492502884,..,1.961808272,25338.44329,1.744323895,24368.91369,0.4802598728,11.70341139,141990.0055,1.463919265,2.781414496,..,..,12,..,124.7091226,..,..,..,3347351807,4204201172,1.62620515,..,0.2135276507,10203008,..,6,6,..,..,..,77.47317073,..,10,..
Belgium,1999,..,..,..,..,..,..,..,2.000646534,8.649999619,22.56999969,79.40142109,1.120848234,..,3.542743464,25252.80191,3.305706514,25440.84119,0.4439811524,11.29525399,138139.9994,1.385835559,2.760424329,..,..,12,..,125.1699905,..,..,..,3653230957,4466878906,1.729700952,..,0.229189103,10226419,..,6,6,..,..,..,77.6195122,..,5,..
Belgium,2000,..,..,2.061846446,..,..,..,33.1,2.168996649,6.590000153,15.25,81.42180435,2.544517762,..,3.716679384,23098.88651,3.465452571,27784.5715,0.4117242023,11.43958054,138250,1.341210276,2.734630387,..,..,12,..,142.2301351,..,8.310648807,853369,3587770752,4004603516,1.691187089,338.5485469,0.2425179562,10251250,..,6,6,..,..,..,77.72195122,0.01266402863,4,..
Belgium,2001,..,..,2.732816062,..,..,..,..,-0.07498417232,6.179999828,15.32999992,83.43231895,2.469258231,..,1.099618888,23015.07126,0.7524829096,28788.06284,0.3996212161,11.50432068,138679.9927,1.276504166,2.599308955,..,..,12,..,139.5768398,..,..,..,3905530518,3933338623,1.661416147,339.7149934,0.3439511576,10286570,..,6,6,..,..,..,77.97317073,0.01237446016,11,..
Belgium,2002,..,..,3.077701148,..,..,..,..,1.253332162,6.909999847,15.64999962,84.80495945,1.645214362,..,1.706884585,25006.1914,1.251984606,30282.28865,0.3542661061,10.72798848,131360.0006,1.215712208,2.452260127,..,..,12,..,136.0851495,219560,..,..,1628741741,4534638939,1.75500262,341.2412483,0.4482688948,10332785,..,6,6,..,..,..,78.07560976,0.01188264414,3,..
Belgium,2003,..,..,..,..,..,..,28.1,-0.1765479988,7.679999828,18.97999954,86.15247972,1.588964,..,1.037982549,30655.20927,0.6158797803,30932.85251,0.3598541235,11.13131453,134750,1.214988156,2.392281166,..,..,12,..,132.7155528,..,..,..,2097327654,5778136096,1.816552491,342.6728203,0.4186415081,10376133,..,6,6,..,..,..,78.12926829,0.01157832174,6,..
Belgium,2004,..,..,..,..,..,..,30.5,2.196550339,7.360000134,17.5,87.95934113,2.097283112,..,3.571204343,35429.40779,3.123928918,32063.08032,0.3412405832,10.94122423,133300.0031,1.149272139,2.34513758,..,..,12,..,136.9184053,..,..,..,2342483501,6562530149,1.777429211,344.1590819,0.4327882481,10421137,..,6,6,..,..,..,78.87804878,0.01126016889,1,..
Belgium,2005,..,..,..,..,..,..,29.3,0.6872779195,8.43999958,21.47999954,90.40587095,2.781432637,..,2.321737054,36809.70134,1.760455594,33177.89095,0.3181571242,10.55578237,129550.0031,1.091560058,2.114533061,11.17551994,5.795859814,12,..,144.5290507,..,8.245677955,870862,2426083651,6884305724,1.784817797,346.0573646,0.5500557081,10478617,..,6,6,..,..,..,78.9804878,0.01150180369,3,..
Belgium,2006,..,..,..,..,..,..,28.1,1.254215892,8.25,20.51000023,92.02522788,1.791207701,21747,2.552349944,38705.1068,1.8781832,35259.18671,0.2921386744,10.30057207,126550.0031,1.051239186,2.164663166,..,..,12,..,149.5675093,..,..,..,2564697223,7268884910,1.780455529,348.347358,0.659558215,10547958,..,6,6,..,..,..,79.3804878,0.01115961506,7,..
Belgium,2007,..,..,..,..,..,..,29.2,2.760782526,7.460000038,18.84000015,93.70289959,1.8230563,23867,3.676881136,44319.16545,2.918338349,36791.20043,0.2675399486,9.843115874,121889.9994,1.094535301,2.26102798,..,..,12,..,152.4684469,294270,..,..,3201618745,8991846091,1.909412409,350.9147952,0.7343308308,10625700,..,6,6,..,..,..,79.78292683,0.01206252799,6,..
Belgium,2008,..,..,..,..,..,..,28.4,-2.379017778,6.980000019,17.96999931,97.90963899,4.489444205,23116,0.4469287353,48303.39796,-0.3434527181,37883.33194,0.2635500013,9.984152183,124139.9994,1.213898317,2.406508435,12.47245026,6.332940102,12,..,161.0884478,..,..,..,4123817771,10479068217,2.025613622,353.6979194,0.7899768455,10709973,..,6,6,..,..,..,79.6804878,0.01140287525,6,..
Belgium,2009,..,..,..,..,..,..,28.6,-2.311539373,7.909999847,21.94000053,97.85760425,-0.05314567413,20415,-2.020743062,44760.29124,-2.80592074,37749.50954,0.2445515554,9.231701273,117169.9982,1.160039922,2.135610755,11.81054974,6.458099842,12,..,135.4060405,..,..,..,4291702746,11090651437,2.294993422,356.555251,0.8045995726,10796493,..,6,6,..,..,..,80.03414634,0.01138985873,5,..
Belgium,2010,..,..,..,..,..,0.7527268529,28.4,0.7875324784,8.289999962,22.39999962,100,2.189299204,23512,2.864292708,44184.94635,1.928764196,39840.0882,0.2458526747,9.794792242,124739.9979,1.084632861,2.02398111,11.95765018,6.442590237,12,..,149.9976731,..,9.632626891,1052844,4142285273,10993669270,2.28358795,359.8278071,0.9136393916,10895586,..,6,6,..,..,..,80.18292683,0.01134715456,6,..
Belgium,2011,..,..,..,..,..,..,28.1,-2.674487516,7.139999866,18.72999954,103.5320821,3.532082107,24451,1.694513899,47410.56693,0.3800345698,40942.37271,0.2134831123,8.740505152,113129.9973,1.043506795,1.902590813,11.6301403,6.431990147,12,..,161.4937237,..,..,..,4504366771,11728548905,2.241136753,364.5397622,1.301002902,11038264,..,6,6,..,..,..,80.58536585,0.01096215739,6,..
Belgium,2012,..,..,..,..,..,..,27.5,2.976818022,7.539999962,19.75,106.4720448,2.839663434,19769,0.7392172831,44670.56068,0.1164025785,42290.76205,0.2028226842,8.577525877,111910.0037,1.04175649,1.844549798,..,..,12,..,160.7460302,258672,..,..,4303018198,11171452382,2.251614943,366.8075297,0.6201635793,11106932,..,6,6,..,..,..,80.38536585,0.00995162316,4,..
Belgium,2013,..,..,..,..,4,..,27.7,0.2813430656,8.430000305,23.70000076,107.6571808,1.11309594,19054,0.4592421929,46757.95186,-0.0131483861,43671.11959,0.1981968311,8.655477512,112889.9994,1.008959479,1.797977049,11.81567955,6.630529881,12,..,157.850845,..,..,..,4548072301,11695085498,2.241335162,368.5405218,0.471340144,11159407,..,6,6,..,..,..,80.58780488,0.01035569955,2,..
Belgium,2014,..,..,..,..,4,..,28.1,1.236196001,8.520000458,23.22999954,108.0232183,0.3400028334,19825,1.578533143,47764.07151,1.128595725,44929.68559,0.1789843643,8.041711215,106510.0021,0.9709597911,1.746337066,11.85340977,6.590469837,12,..,158.7832159,..,..,..,5251309838,12161003266,2.271428066,370.180218,0.4439292885,11209057,..,6,6,..,..,..,81.28780488,0.009712184465,5,..
Belgium,2015,..,..,..,..,4,..,27.7,1.928825966,8.479999542,22.12999916,108.6296921,0.5614291528,20634,2.041459009,41008.29672,1.451893368,46200.90445,0.1826339137,8.437851999,111430.0003,0.9092842021,1.692643768,12.00967979,6.451570034,12,..,154.1925465,..,12.28353319,1387940,4441158754,10464912315,2.263488445,372.3314399,0.5794462417,11274196,..,6,6,..,..,..,80.99268293,0.009456333923,3,..
Belgium,2016,..,..,..,..,4,..,27.6,0.9152261218,7.829999924,20.12000084,110.7738822,1.973852647,22705,1.266686409,42012.62272,0.7552689191,48597.39998,0.1710982853,8.314931808,110379.9973,0.8947062362,1.684527562,12.16495037,6.461730003,12,..,157.665026,..,..,..,4564818716,10786360682,2.265743437,374.2213342,0.5063000025,11331422,..,6,6,..,..,..,81.43902439,0.009536222182,..,0.3
Belgium,2017,..,..,..,..,4,0.757,27.4,0.7377512033,7.090000153,19.25,113.1289026,2.12597086,22944,1.619580278,44198.48239,1.228866236,50442.27054,0.161592561,8.151095679,108309.9976,0.883680595,1.698346269,12.34889984,6.425340176,12,..,165.3258363,240000,..,..,4747435274,11435497317,2.274522625,375.6657199,0.3852280184,11375158,..,6,6,..,..,..,81.49268293,0.008901688097,..,..
Belgium,2018,..,..,..,..,8,0.7627597451,27.2,0.9359986242,5.949999809,15.76000023,115.4516256,2.053164999,27204,1.843899686,47549.20805,1.38137531,52535.23222,0.1560160343,8.196338589,109059.9976,0.8906444863,1.708304693,12.21549988,6.381370068,12,..,166.2906547,..,..,..,5612494418,12448569091,2.291088505,377.3795905,0.4551846953,11427054,14.8,6,6,..,..,50,81.59512195,..,..,..
Belgium,2019,..,..,..,..,8,..,27.2,2.188228543,5.360000134,14.23999977,117.1104572,1.43681957,31094,2.111531644,46599.11134,1.561146953,54278.38945,0.149149303,8.095583954,108059.9976,0.8930429504,1.719673106,..,..,12,..,163.6930831,..,..,..,5336033788,12178118946,2.274684161,379.4247028,0.5404613271,11488980,14.1,6,6,..,..,10,81.99512195,..,..,..
Belgium,2020,4.3,..,..,..,..,0.7604196668,..,-7.427264322,5.550000191,15.32999992,117.9780019,0.7407918122,34366,-5.680733655,45189.3669,-6.132229512,53070.21482,..,..,..,1.080842257,1.775066596,..,..,12,..,158.6774505,..,..,..,6223370195,12693508977,2.433212579,381.2497028,0.4798382825,11544241,13.1,6,6,..,..,..,80.79512195,..,..,..
Belgium,2021,..,..,..,..,..,..,..,..,6.260000229,18.20999908,120.8569583,2.440248511,..,6.244721946,51767.78857,5.844594821,58930.93633,..,..,..,..,..,..,..,12,..,169.3658366,..,..,..,..,..,..,..,0.3773199008,11587882,..,6,6,..,..,16000,..,..,..,..
Belize,1995,..,..,..,..,..,..,..,1.021949287,12.47999954,..,..,..,..,0.6444869258,2997.760458,-1.924607036,4552.489869,0.4882229956,2.222630241,6059.999943,1.298850806,..,..,..,..,15.69166667,97.02788019,..,16.16045458,33446,6881500,13896500,2.239844622,9.073301184,2.585787702,206962,..,6,6,..,..,..,69.439,..,14,..
Belize,1996,..,..,..,..,..,..,56.6,-3.542916363,13.81999969,..,..,..,..,1.429112441,3003.182627,-1.750575826,4554.690523,0.3699307248,1.684919966,4889.999866,1.242144862,4.685808824,..,..,..,16.3,100.22614,..,..,..,6875000,17250000,2.688339619,9.366944323,3.185076498,213660,..,6,6,..,..,..,69.1,..,0,..
Belize,1997,..,..,..,..,..,..,60.4,-2.25182818,12.68000031,..,..,..,..,3.544653368,2954.227237,-0.1541210034,4626.092247,0.4487689338,2.076046485,3940.000057,1.435666259,5.399425287,..,..,..,16.29166667,108.4419483,11909,..,..,7550000,22700000,3.467857165,9.713941254,3.637516611,221575,..,6,6,..,..,..,68.858,..,42,..
Belize,1998,..,..,..,..,..,..,54.9,-0.3344033646,14.31000042,..,..,..,..,3.740514173,2993.033599,-0.1671917763,4670.338947,0.4184737752,1.954414371,2880.000114,..,..,..,..,8,16.5,109.4857213,..,..,..,6900000,23400000,3.395536466,10.09416922,3.839585626,230248,..,6,6,..,..,..,68.734,..,126,..
Belize,1999,..,..,..,..,..,..,53.3,-0.7162824075,12.84000015,..,..,..,..,8.778854915,3066.095138,4.804663952,4963.71122,0.3456349174,1.715631917,1789.999962,..,..,19.18408012,5.442269802,8,16.2725,121.6757865,..,..,..,5972124.5,24416904.32,3.332308765,10.47693994,3.721869308,238979,..,6,6,..,..,..,68.734,..,28,..
Belize,2000,..,..,16.57838341,..,..,..,..,-1.286453223,..,..,..,..,..,13.01957737,3364.491731,9.212347182,5543.800543,0.3282186385,1.819578666,750,0.8552520882,2.700616698,15.61225986,5.028429985,8,16.005,126.6452639,..,14.75383321,36488,6435358.715,24868381,2.988727845,10.84217448,3.426692846,247310,..,6,6,..,..,..,68.847,0.3656921278,68,..
Belize,2001,..,..,25.09134819,..,..,..,..,-0.8154454026,9.069999695,..,..,..,..,5.008884743,3417.090224,1.814995553,5771.586376,0.3600183964,2.077877272,860.0000143,0.855039571,2.460284653,18.30537033,5.796929836,8,15.45416667,120.0047679,..,..,..,16029825.41,28397885.21,3.25816877,11.18228847,3.088756585,255068,..,6,6,..,..,..,69.04,0.3529000749,40,..
Belize,2002,..,..,33.1571305,..,..,..,..,2.654381347,10.03999996,..,..,..,..,5.121602289,3553.121378,2.189349521,5989.867923,0.3308596206,1.981805428,939.9999976,0.8396265616,2.60130814,..,..,8,14.83416667,118.7234236,5797,..,..,16651088.77,26836163.72,2.878512204,11.50315651,2.829033688,262387,..,6,6,..,..,..,69.272,0.3201094676,80,..
Belize,2003,..,..,24.86749707,..,..,..,..,-0.5485447897,..,..,..,..,..,9.335873707,3677.152002,6.478583868,6503.801255,0.2910450244,1.892898995,1009.99999,0.8635558136,2.647747678,15.7650404,5.248209953,8,14.345,119.0791363,..,..,..,19749508.97,32151079.73,3.245198395,11.81183691,2.648068009,269428,..,6,6,..,..,..,69.511,0.3000274739,13,..
Belize,2004,..,..,28.56977535,..,..,..,..,-1.973649613,..,..,..,..,..,4.650236495,3824.927382,1.967712242,6809.801313,0.2336673146,1.591227985,819.9999928,0.8967386681,2.98776378,16.07428932,5.33589983,8,13.94166667,109.0952632,..,..,..,18013818.14,33650128.54,3.181583073,12.12257782,2.596749223,276516,..,6,6,..,..,..,69.749,0.2722611514,40,..
Belize,2005,..,..,28.54142735,..,..,..,..,-0.3875701718,10.90999985,..,..,..,..,2.198011323,3916.355378,-0.4242972149,6993.544845,0.2368051604,1.656107509,879.9999952,0.9613141716,3.433000801,..,..,8,14.255,117.6477126,..,14.62303948,41424,19332237.98,44693322.84,4.021158765,12.44182376,2.599403201,283798,..,6,6,..,..,..,69.998,0.2445395942,133,..
Belize,2006,..,..,31.57844154,..,..,..,..,-1.226362618,9.390000343,..,..,..,..,4.557515944,4157.193035,1.851505502,7342.817732,0.2384022146,1.750544009,970.0000286,1.008915151,3.820540435,..,..,8,14.20916667,123.4241913,..,..,..,20608628.34,63811950.79,5.268714867,12.77238053,2.622138768,291338,..,6,6,..,..,..,70.286,0.2184769497,40,..
